file	class	callee_renderings_lost	wholly_vanished_callees	removed_lines	added_lines	candidate_marker	ir_reference_only_instructions	lost_edge_effects	vanished_callee_names	lost_rendering_detail
01750_sub_7d27b8.dartpseudo	fewer_renderings_same_callees	3	0	56	28	trap_only	2			sub_6155d8:1;sub_7d1e08:1;sub_d4fcf4:1
01759_sub_7d673c.dartpseudo	fewer_renderings_same_callees	4	0	306	278	trap_only	4			sub_60b304:2;sub_d4fcf4:2
01760_sub_7dc940.dartpseudo	fewer_renderings_same_callees	22	0	469	1291	trap_only	2			sub_6163d0:12;sub_d4fcf4:10
01838_sub_7ebba4.dartpseudo	fewer_renderings_same_callees	8	0	281	2826	trap_only	2			sub_d4fcf4:8
01844_sub_7ec53c.dartpseudo	fewer_renderings_same_callees	40	0	426	512	none	0			fn_0x7ec838:20;fn_0x7eca04:20
01902_sub_7f6184.dartpseudo	fewer_renderings_same_callees	28	0	498	483	none	0			sub_7f0418:14;sub_d51a9c:14
01918_sub_7f9c84.dartpseudo	fewer_renderings_same_callees	4	0	51	33	trap_only	2			sel1814:1;sel64036:1;sub_d4fcf4:2
01926_sub_7fcb80.dartpseudo	vanished_behind_trap	33	3	114	3	trap_only	0	disposition_RetainedUnreachable:15;lost_edge_after_Trap:15	sub_799758;sub_7c05cc;sub_7fcf9c	sub_799758:16;sub_7c05cc:16;sub_7fcf9c:1
01932_sub_7fdc48.dartpseudo	fewer_renderings_same_callees	3	0	46	24	trap_only	2			sub_799758:2;sub_7998d8:1
01988_sub_808b18.dartpseudo	fewer_renderings_same_callees	1	0	38	26	trap_only	2			sub_d50264:1
02076_sub_819ea0.dartpseudo	fewer_renderings_same_callees	10	0	300	405	none	0			sub_609028:2;sub_69fe74:4;sub_d502a4:2;sub_d50e6c:2
02112_sub_820c54.dartpseudo	fewer_renderings_same_callees	5	0	56	29	trap_only	2			sub_7d3514:2;sub_820c54:2;sub_d4fd18:1
02227_sub_831eac.dartpseudo	vanished_behind_indirect_branch	4	1	32	8	indirect_branch_only	0	disposition_RetainedUnreachable:4;lost_edge_after_IndirectBranch:2	sub_d50e6c	sub_d50e6c:4
02466_sub_8743cc.dartpseudo	fewer_renderings_same_callees	15	0	278	138	trap_only	2			sub_799854:5;sub_afbb70:3;sub_d50264:4;sub_d51b44:3
02469_sub_87553c.dartpseudo	fewer_renderings_same_callees	10	0	117	127	none	0			sub_d507fc:5;sub_d51a9c:5
02478_sub_878b20.dartpseudo	fewer_renderings_same_callees	43	0	389	199	trap_only	2			sub_60971c:6;sub_64756c:12;sub_6ddfc4:1;sub_7f0418:2;sub_7f048c:2;sub_d4fcf4:6;sub_d4fd18:2;sub_d50a6c:6;sub_d51b44:6
02483_sub_87d2d0.dartpseudo	fewer_renderings_same_callees	8	0	193	197	none	0			sub_d507fc:6;sub_d51a9c:2
02499_sub_88144c.dartpseudo	fewer_renderings_same_callees	8	0	71	30	trap_only	2			sel1814:1;sel64036:3;sub_d4fca4:1;sub_d4fcf4:3
02500_sub_88160c.dartpseudo	vanished_behind_indirect_branch_and_trap	21	2	313	2	indirect_branch_only	0	disposition_RetainedUnreachable:4;lost_edge_after_IndirectBranch:4;lost_edge_after_Trap:4	sub_7998d8;sub_d4fcf4	sub_7998d8:4;sub_d4fcf4:17
02503_sub_881d10.dartpseudo	fewer_renderings_same_callees	6	0	55	22	trap_only	2			sel108068:1;sel108089:1;sel66721:1;sub_60e628:1;sub_d4fca4:1;sub_d4fcf4:1
02521_sub_884b68.dartpseudo	fewer_renderings_same_callees	5	0	53	18	trap_only	2			sel64036:1;sel86715:1;sub_d4fcf4:3
02529_sub_88be0c.dartpseudo	fewer_renderings_same_callees	45	0	330	86	trap_only	2			sel64036:8;sel86715:5;sub_609c64:5;sub_60ba04:8;sub_60bbc8:1;sub_60c4d8:1;sub_b0211c:4;sub_d4fcf4:13
02546_sub_89002c.dartpseudo	vanished_behind_indirect_branch	4	3	19	3	indirect_branch_only	0	dispatch_selector_rendering:1;disposition_RetainedUnreachable:2;lost_edge_after_IndirectBranch:2	sel67732;sub_8252d4;sub_885d0c	sel67732:2;sub_8252d4:1;sub_885d0c:1
02589_sub_89f854.dartpseudo	fewer_renderings_same_callees	36	0	387	57	trap_only	2			sel86715:10;sub_60d5b4:5;sub_686c6c:5;sub_d51b44:16
02690_sub_8be024.dartpseudo	fewer_renderings_same_callees	1	0	161	167	none	0			sub_8be310:1
02699_sub_8bf570.dartpseudo	fewer_renderings_same_callees	7	0	73	25	trap_only	2			sub_6155d8:1;sub_7d20d4:4;sub_87fb04:1;sub_d4fcf4:1
02763_sub_8d1534.dartpseudo	fewer_renderings_same_callees	2	0	92	37	trap_only	2			sel17009:2
02820_sub_8e6f78.dartpseudo	fewer_renderings_same_callees	19	0	174	38	trap_only	2			sel1814:7;sel64036:2;sub_60e628:3;sub_d4fca4:5;sub_d4fcf4:2
02830_sub_8e97a8.dartpseudo	fewer_renderings_same_callees	12	0	107	24	trap_only	2			sel1814:3;sel64036:3;sub_d4fcf4:6
02834_sub_8eb424.dartpseudo	fewer_renderings_same_callees	5	0	22	53	none	0			sub_65022c:5
