run	case	phase	pairs	reference_median_nanos	reference_mad_nanos	candidate_median_nanos	candidate_mad_nanos	median_paired_delta	noise_mad_of_deltas	mde	clears_mde
aa-1	linear/64/heavy	serialization	15	4125116.0	55164.0	4157337.0	29005.0	-0.003804	0.022557	0.067672	no
aa-1	linear/64/light	cfg	15	89169.0	711.0	89259.0	832.0	+0.002129	0.018295	0.054885	no
aa-1	linear/64/light	combined	15	5066897.0	30236.0	5066518.0	13717.0	-0.001066	0.010756	0.050000	no
aa-1	linear/64/light	emission_exclusive	15	3668341.0	21460.0	3657310.0	18214.0	-0.005888	0.014244	0.050000	no
aa-1	linear/64/light	ir	15	131318.0	731.0	131519.0	371.0	+0.002829	0.007315	0.050000	no
aa-1	linear/64/light	serialization	15	1188279.0	17132.0	1182969.0	14939.0	-0.000401	0.017787	0.053361	no
aa-1	multi-exit/1024/base	cfg	15	12424121.0	246277.0	12298263.0	193967.0	-0.013128	0.012614	0.050000	no
aa-1	multi-exit/1024/base	combined	15	905478271.0	4193742.0	908190352.0	4218896.0	+0.000740	0.006509	0.050000	no
aa-1	multi-exit/1024/base	emission_exclusive	15	883850978.0	4151070.0	887213951.0	3668214.0	+0.005626	0.006594	0.050000	no
aa-1	multi-exit/1024/base	ir	15	6987892.0	132328.0	6871473.0	124896.0	-0.014522	0.015257	0.050000	no
aa-1	multi-exit/1024/base	serialization	15	1849029.0	8576.0	1840012.0	10079.0	-0.006942	0.006916	0.050000	no
aa-1	multi-exit/256/base	cfg	15	562224.0	3627.0	569378.0	5832.0	+0.012724	0.017349	0.052047	no
aa-1	multi-exit/256/base	combined	15	113106779.0	738470.0	113757959.0	778808.0	+0.006284	0.009357	0.050000	no
aa-1	multi-exit/256/base	emission_exclusive	15	110933076.0	719044.0	111561653.0	726850.0	+0.005612	0.009121	0.050000	no
aa-1	multi-exit/256/base	ir	15	672693.0	3757.0	672523.0	3226.0	+0.000816	0.009999	0.050000	no
aa-1	multi-exit/256/base	serialization	15	928467.0	6212.0	928307.0	8947.0	+0.011342	0.017019	0.051056	no
aa-1	multi-exit/64/base	cfg	15	81294.0	1853.0	79821.0	652.0	-0.018599	0.027228	0.081684	no
